Scanner,kV,Coll NxT,Width (mm),Acq NxT,k (16 cm),k (32 cm),,Naeotom Alpha,1,,,Siemens,1
Definition Edge,140,32x1.2,38.4,32x1.2,1.0177,1.5121,,,,,,,
Definition Edge,140,64x0.6,38.4,28x0.6,1.0133,1.5207,,,,,,,
Somatom Force,70,2x1,2,2x1,1.0751,1.8793,,,,,,,
Somatom Force,70,6x0.6,3.6,6x0.6,1.0760,1.8660,,,,,,,
Somatom Force,70,1x5,5,1x5,1.0779,1.8750,,,,,,,
Somatom Force,70,1x10,10,1x10,1.0779,1.8750,,,,,,,
Somatom Force,70,12x1.2,14.4,12x1.2,1.0776,1.8750,,,,,,,
Somatom Force,70,32x0.6,19.2,32x0.6,1.0764,1.8438,,,,,,,
Somatom Force,70,32x0.6,19.2,64x0.6,1.0743,1.8676,,,,,,,
Somatom Force,70,32x0.6,19.2,64x0.6,1.0774,1.8462,,,,,,,
Somatom Force,70,48x0.6,28.8,96x0.6,1.0754,1.8714,,,,,,,
Somatom Force,70,64x0.6,38.4,128x0.6,1.0759,1.8507,,,,,,,
Somatom Force,70,96x0.6,57.6,192x0.6,1.0772,1.8571,,,,,,,
Somatom Force,70,24x1.2,28.8,24x1.2,1.0767,1.8696,,,,,,,
Somatom Force,70,48x1.2,57.6,48x1.2,1.0733,1.8571,,,,,,,
Somatom Force,80,2x1,2,2x1,1.0495,1.7282,,,,,,,
Somatom Force,80,6x0.6,3.6,6x0.6,1.0505,1.7267,,,,,,,
Somatom Force,80,1x5,5,1x5,1.0513,1.7200,,,,,,,
Somatom Force,80,1x10,10,1x10,1.0513,1.7200,,,,,,,
Somatom Force,80,12x1.2,14.4,12x1.2,1.0522,1.7324,,,,,,,
Somatom Force,80,32x0.6,19.2,32x0.6,1.0523,1.7321,,,,,,,
Somatom Force,80,32x0.6,19.2,64x0.6,1.0530,1.7190,,,,,,,
Somatom Force,80,32x0.6,19.2,64x0.6,1.0521,1.7299,,,,,,,
Somatom Force,80,48x0.6,28.8,96x0.6,1.0513,1.7339,,,,,,,
Somatom Force,80,64x0.6,38.4,128x0.6,1.0519,1.7288,,,,,,,
Somatom Force,80,96x0.6,57.6,192x0.6,1.0529,1.7297,,,,,,,
Somatom Force,80,24x1.2,28.8,24x1.2,1.0501,1.7295,,,,,,,
Somatom Force,80,48x1.2,57.6,48x1.2,1.0529,1.7297,,,,,,,
Somatom Force,90,2x1,2,2x1,1.0253,1.6543,,,,,,,
Somatom Force,90,6x0.6,3.6,6x0.6,1.0253,1.6580,,,,,,,
Somatom Force,90,1x5,5,1x5,1.0244,1.6603,,,,,,,
Somatom Force,90,1x10,10,1x10,1.0244,1.6603,,,,,,,
Somatom Force,90,12x1.2,14.4,12x1.2,1.0245,1.6547,,,,,,,
Somatom Force,90,32x0.6,19.2,32x0.6,1.0248,1.6591,,,,,,,
Somatom Force,90,32x0.6,19.2,64x0.6,1.0245,1.6561,,,,,,,
Somatom Force,90,32x0.6,19.2,64x0.6,1.0241,1.6558,,,,,,,
Somatom Force,90,48x0.6,28.8,96x0.6,1.0237,1.6564,,,,,,,
Somatom Force,90,64x0.6,38.4,128x0.6,1.0250,1.6595,,,,,,,
Somatom Force,90,96x0.6,57.6,192x0.6,1.0250,1.7000,,,,,,,
Somatom Force,90,24x1.2,28.8,24x1.2,1.0242,1.6563,,,,,,,
Somatom Force,90,48x1.2,57.6,48x1.2,1.0234,1.6609,,,,,,,
Somatom Force,100,2x1,2,2x1,1.0186,1.6034,,,,,,,
Somatom Force,100,6x0.6,3.6,6x0.6,1.0186,1.6062,,,,,,,
Somatom Force,100,1x5,5,1x5,1.0179,1.6027,,,,,,,
Somatom Force,100,1x10,10,1x10,1.0179,1.6027,,,,,,,
Somatom Force,100,12x1.2,14.4,12x1.2,1.0180,1.6082,,,,,,,
Somatom Force,100,32x0.6,19.2,32x0.6,1.0182,1.6071,,,,,,,
Somatom Force,100,32x0.6,19.2,64x0.6,1.0190,1.6052,,,,,,,
Somatom Force,100,32x0.6,19.2,64x0.6,1.0186,1.6071,,,,,,,
Somatom Force,100,48x0.6,28.8,96x0.6,1.0184,1.6036,,,,,,,
Somatom Force,100,64x0.6,38.4,128x0.6,1.0184,1.6075,,,,,,,
Somatom Force,100,96x0.6,57.6,192x0.6,1.0184,1.6040,,,,,,,
Somatom Force,100,24x1.2,28.8,24x1.2,1.0188,1.6036,,,,,,,
Somatom Force,100,48x1.2,57.6,48x1.2,1.0183,1.6040,,,,,,,
Somatom Force,110,2x1,2,2x1,1.0153,1.5563,,,,,,,
Somatom Force,110,6x0.6,3.6,6x0.6,1.0149,1.5549,,,,,,,
Somatom Force,110,1x5,5,1x5,1.0149,1.5548,,,,,,,
Somatom Force,110,1x10,10,1x10,1.0149,1.5548,,,,,,,
Somatom Force,110,12x1.2,14.4,12x1.2,1.0146,1.5548,,,,,,,
Somatom Force,110,32x0.6,19.2,32x0.6,1.0149,1.5575,,,,,,,
Somatom Force,110,32x0.6,19.2,64x0.6,1.0147,1.5549,,,,,,,
Somatom Force,110,32x0.6,19.2,64x0.6,1.0144,1.5556,,,,,,,
Somatom Force,110,48x0.6,28.8,96x0.6,1.0151,1.5559,,,,,,,
Somatom Force,110,64x0.6,38.4,128x0.6,1.0150,1.5546,,,,,,,
Somatom Force,110,96x0.6,57.6,192x0.6,1.0151,1.5536,,,,,,,
Somatom Force,110,24x1.2,28.8,24x1.2,1.0145,1.5556,,,,,,,
Somatom Force,110,48x1.2,57.6,48x1.2,1.0151,1.5536,,,,,,,
Somatom Force,120,2x1,2,2x1,1.0123,1.5423,,,,,,,
Somatom Force,120,6x0.6,3.6,6x0.6,1.0129,1.5456,,,,,,,
Somatom Force,120,1x5,5,1x5,1.0119,1.5438,,,,,,,
Somatom Force,120,1x10,10,1x10,1.0119,1.5438,,,,,,,
Somatom Force,120,12x1.2,14.4,12x1.2,1.0122,1.5461,,,,,,,
Somatom Force,120,32x0.6,19.2,32x0.6,1.0126,1.5434,,,,,,,
Somatom Force,120,32x0.6,19.2,64x0.6,1.0124,1.5447,,,,,,,
Somatom Force,120,32x0.6,19.2,64x0.6,1.0127,1.5449,,,,,,,
Somatom Force,120,48x0.6,28.8,96x0.6,1.0127,1.5443,,,,,,,
Somatom Force,120,64x0.6,38.4,128x0.6,1.0127,1.5457,,,,,,,
Somatom Force,120,96x0.6,57.6,192x0.6,1.0128,1.5450,,,,,,,
Somatom Force,120,24x1.2,28.8,24x1.2,1.0123,1.5462,,,,,,,
Somatom Force,120,48x1.2,57.6,48x1.2,1.0121,1.5450,,,,,,,
Somatom Force,130,2x1,2,2x1,1.0121,1.5252,,,,,,,
Somatom Force,130,6x0.6,3.6,6x0.6,1.0122,1.5254,,,,,,,
Somatom Force,130,1x5,5,1x5,1.0118,1.5250,,,,,,,
Somatom Force,130,1x10,10,1x10,1.0118,1.5250,,,,,,,
Somatom Force,130,12x1.2,14.4,12x1.2,1.0115,1.5263,,,,,,,
Somatom Force,130,32x0.6,19.2,32x0.6,1.0117,1.5268,,,,,,,
Somatom Force,130,32x0.6,19.2,64x0.6,1.0120,1.5250,,,,,,,
Somatom Force,130,32x0.6,19.2,64x0.6,1.0120,1.5273,,,,,,,
Somatom Force,130,48x0.6,28.8,96x0.6,1.0116,1.5275,,,,,,,
Somatom Force,130,64x0.6,38.4,128x0.6,1.0122,1.5237,,,,,,,
Somatom Force,130,96x0.6,57.6,192x0.6,1.0118,1.5271,,,,,,,
Somatom Force,130,24x1.2,28.8,24x1.2,1.0118,1.5246,,,,,,,
Somatom Force,130,48x1.2,57.6,48x1.2,1.0118,1.5243,,,,,,,
Somatom Force,140,2x1,2,2x1,1.0108,1.5134,,,,,,,
Somatom Force,140,6x0.6,3.6,6x0.6,1.0107,1.5125,,,,,,,
Somatom Force,140,1x5,5,1x5,1.0106,1.5121,,,,,,,
Somatom Force,140,1x10,10,1x10,1.0106,1.5121,,,,,,,
Somatom Force,140,12x1.2,14.4,12x1.2,1.0106,1.5115,,,,,,,
Somatom Force,140,32x0.6,19.2,32x0.6,1.0104,1.5123,,,,,,,
Somatom Force,140,32x0.6,19.2,64x0.6,1.0111,1.5114,,,,,,,
Somatom Force,140,32x0.6,19.2,64x0.6,1.0105,1.5113,,,,,,,
Somatom Force,140,48x0.6,28.8,96x0.6,1.0107,1.5104,,,,,,,
Somatom Force,140,64x0.6,38.4,128x0.6,1.0108,1.5102,,,,,,,
Somatom Force,140,96x0.6,57.6,192x0.6,1.0105,1.5116,,,,,,,
Somatom Force,140,24x1.2,28.8,24x1.2,1.0109,1.5113,,,,,,,
Somatom Force,140,48x1.2,57.6,48x1.2,1.0110,1.5108,,,,,,,
Somatom Force,150,2x1,2,2x1,1.0112,1.5007,,,,,,,
Somatom Force,150,6x0.6,3.6,6x0.6,1.0112,1.4996,,,,,,,
Somatom Force,150,1x5,5,1x5,1.0111,1.5007,,,,,,,
Somatom Force,150,1x10,10,1x10,1.0111,1.5007,,,,,,,
Somatom Force,150,12x1.2,14.4,12x1.2,1.0111,1.4995,,,,,,,
Somatom Force,150,32x0.6,19.2,32x0.6,1.0111,1.4994,,,,,,,
Somatom Force,150,32x0.6,19.2,64x0.6,1.0107,1.5042,,,,,,,
Somatom Force,150,32x0.6,19.2,64x0.6,1.0112,1.4995,,,,,,,
Somatom Force,150,48x0.6,28.8,96x0.6,1.0112,1.5000,,,,,,,
Somatom Force,150,64x0.6,38.4,128x0.6,1.0110,1.4982,,,,,,,
Somatom Force,150,96x0.6,57.6,192x0.6,1.0108,1.3260,,,,,,,
Somatom Force,150,24x1.2,28.8,24x1.2,1.0110,1.4994,,,,,,,
Somatom Force,150,48x1.2,57.6,48x1.2,1.0108,1.4993,,,,,,,
Somatom Force,Sn100,2x1,2,2x1,0.9747,1.3929,,,,,,,
Somatom Force,Sn100,6x0.6,3.6,6x0.6,0.9847,1.4043,,,,,,,
Somatom Force,Sn100,1x5,5,1x5,0.9868,1.4074,,,,,,,
Somatom Force,Sn100,1x10,10,1x10,0.9868,1.4074,,,,,,,
Somatom Force,Sn100,12x1.2,14.4,12x1.2,0.9907,1.4211,,,,,,,
Somatom Force,Sn100,32x0.6,19.2,32x0.6,0.9767,1.4333,,,,,,,
Somatom Force,Sn100,32x0.6,19.2,64x0.6,0.9783,1.3939,,,,,,,
Somatom Force,Sn100,32x0.6,19.2,64x0.6,0.9810,1.4054,,,,,,,
Somatom Force,Sn100,48x0.6,28.8,96x0.6,0.9789,1.3824,,,,,,,
Somatom Force,Sn100,64x0.6,38.4,128x0.6,0.9889,1.4063,,,,,,,
Somatom Force,Sn100,96x0.6,57.6,192x0.6,0.9765,1.4000,,,,,,,
Somatom Force,Sn100,24x1.2,28.8,24x1.2,0.9892,1.4242,,,,,,,
Somatom Force,Sn100,48x1.2,57.6,48x1.2,0.9765,1.4000,,,,,,,
Somatom Force,Sn150,2x1,2,2x1,1.0040,1.3776,,,,,,,
Somatom Force,Sn150,6x0.6,3.6,6x0.6,1.0048,1.3884,,,,,,,
Somatom Force,Sn150,1x5,5,1x5,1.0041,1.3810,,,,,,,
Somatom Force,Sn150,1x10,10,1x10,1.0041,1.3810,,,,,,,
Somatom Force,Sn150,12x1.2,14.4,12x1.2,1.0044,1.3815,,,,,,,
Somatom Force,Sn150,32x0.6,19.2,32x0.6,1.0055,1.3785,,,,,,,
